ID,Дата проведения матча,Команда Силы Света,Команда Силы Тьмы,Победитель,Победившая сторона
1,2023-11-24,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
2,2022-12-04,Team Spirit,Team Liquid,Team Spirit,Силы света
3,2021-12-29,Shopify Rebellion,Parivision,Parivision,Силы тьмы
4,2022-06-12,Parivision,Team Liquid,Team Liquid,Силы тьмы
5,2020-07-11,Team Spirit,BetBoom Team,Team Spirit,Силы света
6,2023-01-22,Heroic,Azure Ray,Azure Ray,Силы тьмы
7,2023-05-02,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
8,2023-07-17,Team Spirit,Heroic,Heroic,Силы тьмы
9,2023-05-16,Team Liquid,Heroic,Heroic,Силы тьмы
10,2023-12-21,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
11,2023-12-05,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12,2020-04-19,Team Liquid,Parivision,Parivision,Силы тьмы
13,2023-09-23,Gaimin Gladiators,Tundra Esports,Gaimin Gladiators,Силы света
14,2020-04-09,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
15,2022-02-19,Parivision,Heroic,Heroic,Силы тьмы
16,2021-10-28,Team Liquid,Parivision,Team Liquid,Силы света
17,2020-12-31,Team Spirit,Heroic,Team Spirit,Силы света
18,2020-04-28,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
19,2022-04-21,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
20,2020-11-09,Team Spirit,Team Liquid,Team Spirit,Силы света
21,2022-06-12,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
22,2020-05-31,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
23,2023-04-06,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
24,2023-03-04,Gaimin Gladiators,Team Spirit,Gaimin Gladiators,Силы света
25,2020-11-02,Azure Ray,Heroic,Heroic,Силы тьмы
26,2020-01-11,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
27,2022-02-18,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
28,2021-04-02,Team Spirit,Azure Ray,Azure Ray,Силы тьмы
29,2020-04-15,Gaimin Gladiators,Team Liquid,Gaimin Gladiators,Силы света
30,2020-09-26,Team Liquid,Team Spirit,Team Liquid,Силы света
31,2023-04-08,Parivision,Heroic,Parivision,Силы света
32,2023-07-12,Team Liquid,Parivision,Team Liquid,Силы света
33,2023-08-27,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
34,2022-04-20,Gaimin Gladiators,Tundra Esports,Gaimin Gladiators,Силы света
35,2021-03-05,Team Liquid,Shopify Rebellion,Team Liquid,Силы света
36,2023-04-28,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
37,2022-05-09,BetBoom Team,Parivision,BetBoom Team,Силы света
38,2022-08-06,Heroic,Parivision,Parivision,Силы тьмы
39,2022-07-22,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
40,2022-12-21,Heroic,Team Spirit,Team Spirit,Силы тьмы
41,2023-05-08,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
42,2021-06-09,Xtreme Gaming,Team Spirit,Team Spirit,Силы тьмы
43,2023-03-23,Tundra Esports,Parivision,Parivision,Силы тьмы
44,2022-01-14,Azure Ray,Xtreme Gaming,Xtreme Gaming,Силы тьмы
45,2020-09-29,Team Liquid,Shopify Rebellion,Team Liquid,Силы света
46,2021-08-09,Heroic,Team Spirit,Team Spirit,Силы тьмы
47,2022-08-20,Shopify Rebellion,Heroic,Shopify Rebellion,Силы света
48,2020-07-14,Parivision,Team Spirit,Team Spirit,Силы тьмы
49,2023-04-10,BetBoom Team,Team Spirit,BetBoom Team,Силы света
50,2021-08-16,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
51,2022-01-14,Shopify Rebellion,Parivision,Parivision,Силы тьмы
52,2020-01-24,Xtreme Gaming,Parivision,Parivision,Силы тьмы
53,2021-05-07,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
54,2020-04-29,Gaimin Gladiators,Xtreme Gaming,Gaimin Gladiators,Силы света
55,2020-05-02,Tundra Esports,Azure Ray,Tundra Esports,Силы света
56,2021-08-22,Parivision,Gaimin Gladiators,Parivision,Силы света
57,2021-12-14,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
58,2021-12-31,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
59,2023-02-25,Azure Ray,Team Spirit,Azure Ray,Силы света
60,2021-09-26,Parivision,Azure Ray,Parivision,Силы света
61,2020-09-24,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
62,2022-01-29,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
63,2021-03-14,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
64,2022-04-14,Parivision,Azure Ray,Azure Ray,Силы тьмы
65,2022-07-05,Parivision,Azure Ray,Parivision,Силы света
66,2022-07-04,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
67,2023-02-20,BetBoom Team,Team Spirit,BetBoom Team,Силы света
68,2022-12-20,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
69,2022-08-01,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
70,2020-10-15,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
71,2020-06-23,Team Spirit,Azure Ray,Azure Ray,Силы тьмы
72,2020-10-31,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
73,2020-06-29,Team Spirit,Azure Ray,Team Spirit,Силы света
74,2022-06-03,Heroic,Azure Ray,Heroic,Силы света
75,2021-03-21,Gaimin Gladiators,Team Spirit,Team Spirit,Силы тьмы
76,2023-05-24,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
77,2020-01-13,Xtreme Gaming,Tundra Esports,Xtreme Gaming,Силы света
78,2022-10-03,Parivision,Shopify Rebellion,Parivision,Силы света
79,2022-05-22,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
80,2022-04-23,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
81,2023-07-22,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
82,2022-10-14,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
83,2020-08-22,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
84,2023-12-14,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
85,2022-06-05,Parivision,Team Liquid,Team Liquid,Силы тьмы
86,2023-10-29,Gaimin Gladiators,Team Liquid,Gaimin Gladiators,Силы света
87,2021-12-01,Parivision,Team Spirit,Team Spirit,Силы тьмы
88,2022-04-17,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
89,2021-05-13,Team Spirit,Shopify Rebellion,Team Spirit,Силы света
90,2022-07-17,Parivision,Team Spirit,Team Spirit,Силы тьмы
91,2023-01-27,Parivision,Heroic,Heroic,Силы тьмы
92,2020-11-13,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
93,2020-04-01,Xtreme Gaming,Team Liquid,Team Liquid,Силы тьмы
94,2022-08-09,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
95,2022-06-06,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
96,2023-08-30,Azure Ray,Team Liquid,Team Liquid,Силы тьмы
97,2020-02-01,Azure Ray,Heroic,Azure Ray,Силы света
98,2022-11-19,Team Spirit,Heroic,Heroic,Силы тьмы
99,2022-10-05,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
100,2022-07-23,Parivision,BetBoom Team,Parivision,Силы света
101,2020-09-08,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
102,2020-08-05,Tundra Esports,Team Spirit,Tundra Esports,Силы света
103,2023-05-12,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
104,2021-02-12,Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,Силы света
105,2022-02-17,Parivision,Team Liquid,Team Liquid,Силы тьмы
106,2020-10-19,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
107,2023-01-27,Heroic,Parivision,Parivision,Силы тьмы
108,2023-09-11,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
109,2022-12-26,Parivision,Team Spirit,Parivision,Силы света
110,2020-03-26,Parivision,Heroic,Heroic,Силы тьмы
111,2022-10-11,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
112,2020-08-11,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
113,2021-01-28,Parivision,BetBoom Team,Parivision,Силы света
114,2021-01-03,Heroic,Parivision,Parivision,Силы тьмы
115,2023-01-18,Azure Ray,Team Spirit,Azure Ray,Силы света
116,2023-07-23,Tundra Esports,Azure Ray,Tundra Esports,Силы света
117,2020-07-09,Team Liquid,Team Spirit,Team Spirit,Силы тьмы
118,2022-11-07,Parivision,Team Liquid,Team Liquid,Силы тьмы
119,2023-04-06,Shopify Rebellion,Team Liquid,Team Liquid,Силы тьмы
120,2023-05-09,Heroic,Team Spirit,Heroic,Силы света
121,2023-04-15,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
122,2022-10-27,Shopify Rebellion,Azure Ray,Shopify Rebellion,Силы света
123,2022-10-21,Xtreme Gaming,Team Spirit,Team Spirit,Силы тьмы
124,2023-01-05,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
125,2023-03-18,Heroic,Tundra Esports,Tundra Esports,Силы тьмы
126,2021-03-29,Azure Ray,Parivision,Parivision,Силы тьмы
127,2023-05-16,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
128,2023-11-26,Azure Ray,BetBoom Team,Azure Ray,Силы света
129,2023-03-19,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
130,2023-09-06,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
131,2022-08-16,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
132,2021-03-12,BetBoom Team,Parivision,Parivision,Силы тьмы
133,2023-07-19,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
134,2021-03-29,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
135,2023-12-06,Team Spirit,Shopify Rebellion,Team Spirit,Силы света
136,2022-07-06,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
137,2020-01-09,Team Liquid,Azure Ray,Team Liquid,Силы света
138,2020-01-11,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
139,2022-11-01,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
140,2021-12-29,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
141,2022-10-12,Parivision,Xtreme Gaming,Parivision,Силы света
142,2022-02-20,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
143,2022-12-29,Tundra Esports,Shopify Rebellion,Tundra Esports,Силы света
144,2020-10-11,Tundra Esports,Team Liquid,Tundra Esports,Силы света
